"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The mock policy falls back to its default `{}` response when no notice number matches, so the RTP stays in RFC_SENT.","2232","Cancelling an RTP - EPC v4 mock happy path scenario: no_match_fallback","functional-tests.tests.cancel_rtp","2026-08-06","passed","2026-08-06","","test_RTP_cancel_MOCK_V2","",""
"","846","An RTP is sent to Poste service with activated fiscal code - through Web API V2","functional-tests.tests.send_rtp","2026-08-06","failed","2026-08-06","","test_RTP_send_POSTE","",""
"Each entry in ``INVALID_PAYER_IDS`` (see dataset docstring) must be rejected with 400.","384","The activation request must contain a validly formatted fiscal code","functional-tests.tests.activation","2026-08-06","passed","2026-08-06","","test_debtor_activation_create","",""
"","384","Unauthorized callback due to wrong certificate serial","functional-tests.tests.callbacks","2026-08-06","passed","2026-08-06","","test_RTP_callback_DS_08","",""
"","2588","A v2 RTP callback with status ACCP is successfully received","functional-tests.tests.callbacks_v2","2026-08-06","passed","2026-08-06","","test_RTP_callback_DS_08P_positive","",""
"The PSP synchronously rejects the cancellation request with 422 (per standard behaviour for the EPC 401 Unauthorized scenario). The RTP then transitions to ERROR_CANCEL via ERROR_CANCEL_RTP.","2003","Cancelling an RTP - EPC v4 mock unhappy path scenario: epc_401","functional-tests.tests.cancel_rtp","2026-08-06","failed","2026-08-06","","test_RTP_cancel_MOCK_V2","",""
"Test sending an UPDATE operation message with different statuses via GPD message API after a CREATE","1786","An UPDATE message with status PARTIALLY_PAID after CREATE","functional-tests.tests.process_messages_sender","2026-08-06","passed","2026-08-06","","test_RTP_process_sender_UPDATE","",""
"","1869","An RTP callback with status ACTC is successfully received","functional-tests.tests.callbacks","2026-08-06","passed","2026-08-06","","test_RTP_callback_DS_05","",""
"
Verify that a debt position can be created and published successfully.
","408","Happy path: a debt position is created and published in DEV environment","functional-tests.tests.gpd_availability","2026-08-06","passed","2026-08-06","","test_availability_GPD","",""
"","2197","An RTP is sent to ICCREA service with activated fiscal code - through Web API","functional-tests.tests.send_rtp","2026-08-06","failed","2026-08-06","","test_RTP_send_ICCREA","",""
"
DS_04b callback sent with the Version header must be rejected with 400.
The RTP state must be unchanged.

Flow:
1. Activate payer and send an RTP → resource_id
2. Capture current RTP status
3. Build a valid DS_04b payload referencing the RTP
4. POST to callback endpoint WITH Version header
5. Verify 400 is returned with the expected error body
6. Verify RTP status is unchanged
","2022","DS_04b callback with Version header returns 400","functional-tests.tests.callbacks","2026-08-06","passed","2026-08-06","","test_RTP_callback_with_version_header","",""
"Test sending a DELETE operation message via GPD message API after a standalone UPDATE (no prior CREATE)","1182","A DELETE message after standalone UPDATE PUBLISHED","functional-tests.tests.process_messages_sender","2026-08-06","passed","2026-08-06","","test_RTP_process_sender_DELETE","",""
"OTP bound to payer1 should not work for payer2","1196","Test Takeover Fails with OTP Bound to Different Payer","functional-tests.tests.takeover","2026-08-06","passed","2026-08-06","","test_debtor_takeover","",""
"","782","Get by activation id returns 404 when the token subject does not own the activation's Service Provider ID","functional-tests.tests.activation","2026-08-06","passed","2026-08-06","","test_debtor_activation_get","",""
"","1504","Deactivation returns 404 when the token subject does not own the activation's Service Provider ID","functional-tests.tests.activation","2026-08-06","passed","2026-08-06","","test_debtor_deactivation","",""
"Test that takeover fails when an invalid OTP is provided","1154","Test Takeover Fails with Invalid OTP","functional-tests.tests.takeover","2026-08-06","passed","2026-08-06","","test_debtor_takeover","",""
"","2088","DS_08N negative v2 callback with Version header returns 400","functional-tests.tests.callbacks_v2","2026-08-06","passed","2026-08-06","","test_RTP_callback_with_version_header","",""
