"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"28","RTP GPD Message","0","GPD Message API","0","0","Consumer sends RTP message to Sender with different statuses","0"
"0","Service Registry Service Providers","0","Service Providers Registry","2","0","pagoPA retrieves service providers registry","0"
"9","RTP Callback","0","RTP Callback DS_12N","0","0","Service provider sends an RFC callback with RJCR status","0"
"29","Debtor Activation","0","Payer Status","2","0","Get Activation Status by Fiscal Code","0"
"3","RTP Send","0","RTP Send","0","0","Service provider sends an RTP with synchronous RJCT response","0"
"7","RTP GPD Message","0","GPD Message API","0","0","Consumer sends DELETE message to Sender after a standalone UPDATE","0"
"2","GPD Availability","0","Delete Debt Positions happy path","0","0","Delete Debt Position","0"
"3","RTP Send","0","RTP Send","0","0","Service provider sends an RTP with a non-compliant synchronous ACTC-like response containing an unexpected field that is ignored","0"
"1","","0","","0","0","","0"
"9","RTP Callback","0","RTP Callback DS_12P","0","0","Service provider sends an RFC callback with CNCL status","0"
"9","Debtor Activation","0","Activation","0","0","Debtor activation","0"
"2","RTP Callback","0","RTP Callback DS_05","0","0","Service provider sends a callback referred to an RTP with status ACTC","0"
"0","ICCREA Availability","0","RTP Send","1","0","Service provider sends an RTP to ICCREA directly","0"
"1","RTP Send","0","RTP Send","2","0","Service provider sends an RTP to a non-activated debtor","0"
"7","Debtor Activation","0","Activation","1","0","List Activations","0"
"5","RTP Send","0","RTP Send","0","0","Service provider sends an RTP","0"
"6","Debtor Activation","0","Activation","1","0","Get Debtor activation by ID","0"
"6","RTP Callback","0","RTP Callback - Version Header","0","0","Callback with Version header is rejected","0"
"3","RTP Send","0","RTP Send","0","0","Service provider sends an RTP with synchronous RJCT response containing extra fields","0"
"3","RTP Callback","0","RTP Callback DS_12P","0","0","Service provider sends an RFC callback with INVALID status","0"
"3","RTP Send","0","RTP Send","0","0","Service provider sends an RTP with synchronous ACTC response","0"
"7","RTP GPD Message","0","GPD Message API","0","0","Consumer sends DELETE message to Sender after CREATE and UPDATE","0"
"3","RTP Cancel","0","RTP Cancel","1","0","Service provider cancels RTP","0"
"0","POSTE Availability","1","RTP Send","2","0","Service provider sends an RTP to POSTE","0"
"0","RTP Availability","0","RTP Service Provider Mock","2","0","Send an RTP to mocked Service Provider","0"
"1","RTP Get","0","RTP Get","2","0","Service provider retrieves an RTP","0"
"2","RTP Activation Security","0","Activation Security","0","0","Admin role can read activations across all Service Providers","0"
"1","Debtor Takeover","0","Takeover unhappy path","0","0","Takeover fails because of wrong SP token","0"
"1","Debtor Takeover","0","Takeover unhappy path","0","0","Takeover fails because of reused OTP","0"
"0","CBI Availability","0","RTP Send","2","0","Service provider sends an RTP to CBI","0"
